tipo_ente;cod_ibge;tipo_receita;ano;DCA;RREO;SIOPS;SIOPE;DCA2
Município;1100031;Cota-Parte ICMS;2024;17743713,33;;17743713,33;17743713,33;17743713,33
Município;1100031;Cota-Parte ICMS;2025;21895532,55;;21895532,55;21895532,55;21895532,55
Município;1100031;ISS;2019;251166,79;;;251166,79;251151,53
Município;1100031;ISS;2020;343503,88;;424634,5;424634,5;343503,88
Município;1100031;ISS;2021;347426,85;;347415,82;347426,85;347415,81999999995
Município;1100031;ISS;2022;545120,74;;545120,61;545120,74;545120,61
Município;1100031;ISS;2023;409165,03;;409164,41;409165,03;409164,41000000003
Município;1100031;ISS;2024;458425,19;;458425,19;458425,19;458425,19
Município;1100031;ISS;2025;382948,53;;382948,53;382948,53;382948,53
Município;1100049;Cota-Parte ICMS;2019;35338844,18;35338844,18;;35338844,18;35338844,18
Município;1100049;Cota-Parte ICMS;2020;36732672,58;36732672,58;36732672,58;36732672,58;36732672,58
Município;1100049;Cota-Parte ICMS;2021;48205772,69;48205772,69;48205772,69;48205772,69;48205772,69
Município;1100049;Cota-Parte ICMS;2022;52092592,67;52092592,67;52092592,67;52092592,67;52092592,67
Município;1100049;Cota-Parte ICMS;2023;53603122,81;53603122,81;53603122,81;53603122,81;53603122,81
Município;1100049;Cota-Parte ICMS;2024;63470245,85;63470245,85;63470245,85;63470245,85;63470245,85
Município;1100049;Cota-Parte ICMS;2025;67898902,69;67898902,69;67898902,69;67898902,69;67898902,69
Município;1100049;ISS;2019;20770385,04;20770385,04;;20770385,04;20770385,04
Município;1100049;ISS;2020;22656962,84;22655540,1;22655540,1;22655540,1;22655540,1
Município;1100049;ISS;2021;30408986,27;30399517,0;30399517,0;30408986,27;30399517,0
Município;1100049;ISS;2022;32374852,73;32367404,62;32367404,62;32374852,73;32367404,62
Município;1100049;ISS;2023;35300289,28;35264261,35;35264261,35;35300289,28;35264261,35
Município;1100049;ISS;2024;40368478,49;40352989,17;40352989,17;40368478,49;40352989,17
Município;1100049;ISS;2025;46442429,31;46419147,43;46419147,43;46442429,31;46419147,43
Município;1100049;LC194;2023;;;;;1708698,41
Município;1100056;Cota-Parte ICMS;2019;14052174,4;14052174,4;;14052174,4;14052174,4
Município;1100056;Cota-Parte ICMS;2020;15582568,89;15582568,89;15582568,89;15582568,89;15582568,89
Município;1100056;Cota-Parte ICMS;2021;19986562,27;;19986562,27;19986562,27;19986562,27
Município;1100056;Cota-Parte ICMS;2022;21791090,5;;21791090,5;21791090,5;21791090,5
Município;1100056;Cota-Parte ICMS;2023;22785904,84;;23794314,48;22785904,84;22785904,84
Município;1100056;Cota-Parte ICMS;2024;31382511,49;;31382511,49;31382511,49;31382511,49
Município;1100056;Cota-Parte ICMS;2025;36382028,2;;36382028,2;36382028,2;36382028,2
Município;1100056;ISS;2019;1809047,87;1788880,68;;1809047,87;1788880,6800000002
Município;1100056;ISS;2020;2110955,6;2098116,71;2098116,71;2110955,6;2098116,71
Município;1100056;ISS;2021;2643084,21;;2607688,21;2643084,21;2607688,21
Município;1100056;ISS;2022;4059465,06;;4029522,42;4059465,06;4029522,42
Município;1100056;ISS;2023;4298189,89;;4292545,66;4298189,89;4292545,659999999
Município;1100056;ISS;2024;4741645,59;;4740170,59;4741645,59;4740170,59
Município;1100056;ISS;2025;5391746,33;;5391736,53;5391746,33;5391736,53
Município;1100056;LC194;2023;;;;;1008409,64
Município;1100064;Cota-Parte ICMS;2019;11795217,43;;;11795217,43;11795217,43
Município;1100064;Cota-Parte ICMS;2020;12959770,83;;12959770,83;12959770,83;12959770,83
Município;1100064;Cota-Parte ICMS;2021;15531208,52;;17229569,1;17229569,1;15531208,52
Município;1100064;Cota-Parte ICMS;2022;19581962,91;;19581962,91;19581962,91;19581962,91
Município;1100064;Cota-Parte ICMS;2023;20705627,27;;21005440,27;20705627,27;20705627,27
Município;1100064;Cota-Parte ICMS;2024;23854410,83;;23854410,83;23854410,83;23854410,83
Município;1100064;Cota-Parte ICMS;2025;26611510,34;;26611510,34;26611510,34;26611510,34
Município;1100064;ISS;2019;1465818,25;;;1465818,25;1465818,25
Município;1100064;ISS;2020;1632770,13;;1632770,13;1632770,13;1632770,13
Município;1100064;ISS;2021;1624672,68;;1854769,95;1854769,95;1624672,68
Município;1100064;ISS;2022;2860337,49;;2852545,73;2860337,49;2860337,49
Município;1100064;ISS;2023;2741529,83;;2741529,83;2741529,83;2741529,83
Município;1100064;ISS;2024;3466444,2;;3466444,2;3466444,2;3466444,2
Município;1100064;ISS;2025;3429690,99;;3429690,99;3429690,99;3429690,99
Município;1100064;LC194;2023;;;;;299813,0
Município;1100072;Cota-Parte ICMS;2019;16437266,62;;;16437266,62;16437266,62
Município;1100072;Cota-Parte ICMS;2020;18208633,34;;18208633,34;18208633,34;18208633,34
Município;1100072;Cota-Parte ICMS;2021;24589963,72;;24589963,72;24589963,72;24589963,72
Município;1100072;Cota-Parte ICMS;2022;28287716,12;;28287716,12;28287716,12;28287716,12
Município;1100072;Cota-Parte ICMS;2023;29467998,08;;29535846,14;29467998,08;29467998,08
Município;1100072;Cota-Parte ICMS;2024;36219281,81;;36219281,81;36219281,81;36219281,81
Município;1100072;Cota-Parte ICMS;2025;;;39984704,66;39984704,66;39984704,66
Município;1100072;ISS;2019;568028,37;;;568028,37;568028,37
Município;1100072;ISS;2020;625689,54;;625689,54;625689,5399999999;625689,54
Município;1100072;ISS;2021;584601,84;;584601,84;584601,84;584601,84
Município;1100072;ISS;2022;3322392,36;;3322392,36;3322392,36;3322392,36
Município;1100072;ISS;2023;7753385,7;;7753385,7;7753385,7;7753385,7
Município;1100072;ISS;2024;3913053,4;;3913053,4;3913053,4;3913053,4
Município;1100072;ISS;2025;;;2743265,12;2743265,12;2743265,12
Município;1100072;LC194;2023;;;;;67848,06
Município;1100080;Cota-Parte ICMS;2019;7853245,21;;;7853245,21;7853245,21
Município;1100080;Cota-Parte ICMS;2020;9386379,03;;9386379,03;9386379,03;9386379,03
Município;1100080;Cota-Parte ICMS;2021;13649363,63;;13649363,63;13649363,63;10919491,13
Município;1100080;Cota-Parte ICMS;2022;15245814,5;;15245814,5;15245814,5;15245814,5
Município;1100080;Cota-Parte ICMS;2023;15870594,92;;15870594,92;15870594,92;15870594,92
Município;1100080;Cota-Parte ICMS;2024;20434558,75;;20434558,75;20434558,75;20434558,75
Município;1100080;Cota-Parte ICMS;2025;;;24295015,36;24295015,36;24295015,36
Município;1100080;ISS;2019;1020227,86;;;1020809,6;1020227,86
Município;1100080;ISS;2020;1219423,3;;1219423,3;1219423,3;1219423,3
Município;1100080;ISS;2021;799562,75;;799562,75;799562,75;799562,75
